source_row_key,status,match_method,cardmarket_product_id,cardmarket_name,finish,provider_card_id,candidate_count,reason_code,evidence,cardmarket_url
764c645e4f60b377cb52385e14fdc1910d8f61883af8ef64b0d1757a7df7bcf3,exact,direct_marketplace_id,851652,Tifa Lockhart,foil,39a038ed-9ed9-4a32-9613-989e4809ec94,1,,cardmarket_id=851652,https://www.cardmarket.com/en/Magic/Products?idProduct=851652&isFoil=Y
7652ae5aaa1f1b00c5f79d7beb0ac4a25b3e7bbbeac8a4ab27df1181c28748c2,exact,direct_marketplace_id,722537,"Mikaeus, the Unhallowed",foil,bc1f42a2-fe11-45da-9552-069803b4068a,1,,cardmarket_id=722537,https://www.cardmarket.com/en/Magic/Products?idProduct=722537&isFoil=Y
765ebb587eb3b5a8d7706e626e156dc7fdfca92f285130f526bc45422511cd74,exact,direct_marketplace_id,682952,Mystic Forge,foil,bbbfadff-43a1-4c46-9426-d3417715baae,1,,cardmarket_id=682952,https://www.cardmarket.com/en/Magic/Products?idProduct=682952&isFoil=Y
765f49af3f728e80f9ee092cfae94897d408cf56e136459c8f5be0a5e8d1c736,provider_missing,none,254442,Forest,nonfoil,,0,CM_ID_NOT_FOUND,,https://www.cardmarket.com/en/Magic/Products?idProduct=254442
7662e401521d62abf7f3da89afedd81585054fba0cc750b7461cd71a3c745900,exact,direct_marketplace_id,21314,City of Brass,nonfoil,a8175b7e-a241-4ee0-a0e2-0ccc8862a79f,1,,cardmarket_id=21314,https://www.cardmarket.com/en/Magic/Products?idProduct=21314
7667b597d836a145c37e6e319d5b92e069629dca6a1b26c02221fc38a29da89e,exact,direct_marketplace_id,15034,Pact of Negation,foil,cca467a2-a2b3-4bdf-9d60-62979f675347,1,,cardmarket_id=15034,https://www.cardmarket.com/en/Magic/Products?idProduct=15034&isFoil=Y
76680e61440167405a8a744516de65a6190ddd08599c39bc20362c0fc8cf4d71,exact,direct_marketplace_id,258316,Blood Crypt,foil,8bd5828b-8dcd-4ce6-b834-ebe9cbaa12d1,1,,cardmarket_id=258316,https://www.cardmarket.com/en/Magic/Products?idProduct=258316&isFoil=Y
76689bfbb9757d40350d2a4a6950caef0dc5b93a3256832e5138a6d1f8ebe99d,exact,direct_marketplace_id,740857,"Ojer Taq, Deepest Foundation // Temple of Civilization",nonfoil,1ca79dd4-67fc-496c-96fc-489b039c4932,1,,cardmarket_id=740857,https://www.cardmarket.com/en/Magic/Products?idProduct=740857
7668b2883a11122e415c731bf6a14dca1f37c6d9ebf7dd2d2104bb755bc28ecf,exact,direct_marketplace_id,857842,The Walls of Ba Sing Se,nonfoil,24a14ac5-0b7e-4441-9963-782a7cda3f4a,1,,cardmarket_id=857842,https://www.cardmarket.com/en/Magic/Products?idProduct=857842
76710a58e243944cc32d8af4668bf106211cf56843cc4e8b9be78268a702d296,exact,direct_marketplace_id,12967,Blood Crypt,nonfoil,f281e16f-0fe1-4095-bd63-0a4479f75c11,1,,cardmarket_id=12967,https://www.cardmarket.com/en/Magic/Products?idProduct=12967
7675edb776603db0e61fd34afdea2b859f486fe33132aa5bedec9e2618857143,exact,direct_marketplace_id,850965,"Greensleeves, Maro-Sorcerer",nonfoil,643b6832-0fa1-4ce8-bda8-00fe9810ffeb,1,,cardmarket_id=850965,https://www.cardmarket.com/en/Magic/Products?idProduct=850965
7675fd21cb58d23f197554bbab15d013b3b3a72802f2f46918277eb64ac9d869,exact,direct_marketplace_id,864924,Dolmen Gate,foil,50191314-ad97-4758-895a-5fc61714de32,1,,cardmarket_id=864924,https://www.cardmarket.com/en/Magic/Products?idProduct=864924&isFoil=Y
7696f4d21e7ffdd7a612ea5721371fcb8721ff7bf6ab062ccd3d1551e21eaa23,exact,direct_marketplace_id,824274,"Cloud, Midgar Mercenary",nonfoil,5d8690ec-fded-4801-8eaf-5e5fe3d444ec,1,,cardmarket_id=824274,https://www.cardmarket.com/en/Magic/Products?idProduct=824274
769a73499c4293d4ba79605cabe206ce9a83b3dfe086c2ad2449c6f1407a9134,exact,direct_marketplace_id,10843,Yavimaya Hollow,nonfoil,47dd5c4b-5972-43e1-ae2a-ebf275006458,1,,cardmarket_id=10843,https://www.cardmarket.com/en/Magic/Products?idProduct=10843
769bd846ecbdf85d953288b33608e3062724f973670ff67b986e4d7cb7f7af7c,exact,direct_marketplace_id,557999,Crackle with Power,nonfoil,d1c038e6-2346-4544-bea1-b64098f63f23,1,,cardmarket_id=557999,https://www.cardmarket.com/en/Magic/Products?idProduct=557999
76a04c98b01c338dfd4615144fa67eab74e57e69af5d83611d239e1dacdaa085,exact,direct_marketplace_id,605025,"Hidetsugu, Devouring Chaos",nonfoil,c046b0b3-05f0-4468-817f-355e87552faf,1,,cardmarket_id=605025,https://www.cardmarket.com/en/Magic/Products?idProduct=605025
76a43a2ba63ef5548dfab79c830d5652dd4280d2f2c64df73ffc4d6370784c6a,exact,direct_marketplace_id,851650,"Cloud, Midgar Mercenary",nonfoil,b358dadc-9cc9-4baf-afec-3b50d0822609,1,,cardmarket_id=851650,https://www.cardmarket.com/en/Magic/Products?idProduct=851650
76ac443dc134a166a31b65d9848849f132574d028fbc5864a7518f805734d7a9,exact,direct_marketplace_id,8315,Cursed Totem,nonfoil,cc99ee76-45b6-4f1d-b0b0-7da8775ca90c,1,,cardmarket_id=8315,https://www.cardmarket.com/en/Magic/Products?idProduct=8315
76b001eb0ed34db08539ee8743f1ca56e2ef9c0571f20800610c8ae0ea8a6f5f,exact,direct_marketplace_id,824123,Summon: Bahamut,foil,95318d85-4a08-47ac-a43d-ea83c0bea81c,1,,cardmarket_id=824123,https://www.cardmarket.com/en/Magic/Products?idProduct=824123&isFoil=Y
76b141a3c978912b535531dc458ecc327db054e6cd1bd6af7623fff8510d7591,exact,direct_marketplace_id,682372,Island Sanctuary,nonfoil,3c25c773-c64a-4197-9d25-c4c3ffb8be0c,1,,cardmarket_id=682372,https://www.cardmarket.com/en/Magic/Products?idProduct=682372
76beba8567dded0e17fedb6cde6e2c8dff357d27da6f4e32fd79f4a50689c2fc,exact,direct_marketplace_id,16770,Raise Dead,nonfoil,d7b51ccf-fcae-49ff-b4f3-cef496aa639d,1,,cardmarket_id=16770,https://www.cardmarket.com/en/Magic/Products?idProduct=16770
76c3ae4cfa12f07d7e90777bbc8712e3311a262d80dd809cbc6e6c8f17029293,exact,direct_marketplace_id,9415,Necropotence,nonfoil,222cfbec-8839-43fa-95a0-2ea91b59515c,1,,cardmarket_id=9415,https://www.cardmarket.com/en/Magic/Products?idProduct=9415
76c78466326af8b717341d48841d63016d201e3ff8ed7c2ef023b952f8e39fc2,exact,direct_marketplace_id,810281,All Will Be One,foil,7f9cf727-c02f-4295-a708-d2497e503a27,1,,cardmarket_id=810281,https://www.cardmarket.com/en/Magic/Products?idProduct=810281&isFoil=Y
76ca5259cd0360478fe082c9d8323100c97ddde5b9aa787d240d5aa0799452a5,exact,direct_marketplace_id,720269,Waste Not,nonfoil,f4fc8e83-471a-4d75-9703-d8f3998a705a,1,,cardmarket_id=720269,https://www.cardmarket.com/en/Magic/Products?idProduct=720269
